EXP-ID	score	status	description	agent
exp001	0	in_progress	proof attempt 2026-05-26T22:36:44Z	agent0
exp002	0	in_progress	proof attempt 2026-05-26T22:53:57Z	agent0
exp003	0	in_progress	proof attempt 2026-05-26T22:54:18Z	agent1
exp004	-2.000	in_progress	proof attempt 2026-05-26T22:54:23Z	agent0
exp005	0	in_progress	proof attempt 2026-05-26T22:54:27Z	agent2
exp006	0	in_progress	proof attempt 2026-05-26T22:54:35Z	agent0
exp007	0	in_progress	proof attempt 2026-05-26T22:54:47Z	agent3
exp008	0	compile_error	proof attempt 2026-05-26T22:54:57Z	agent0
exp009	1.000	compile_error	proof attempt 2026-05-26T22:55:01Z	agent4
exp010	0	compile_error	proof attempt 2026-05-26T22:55:05Z	agent0
exp011	1.000	compile_error	proof attempt 2026-05-26T22:55:05Z	agent1
exp012	-2.000	compile_error	proof attempt 2026-05-26T22:55:06Z	agent3
exp013	1.000	compile_error	proof attempt 2026-05-26T22:55:11Z	agent4
exp014	0	compile_error	proof attempt 2026-05-26T22:55:13Z	agent5
exp015	0	compile_error	proof attempt 2026-05-26T22:55:13Z	agent0
exp016	1.000	compile_error	proof attempt 2026-05-26T22:55:19Z	agent1
exp017	1.000	compile_error	proof attempt 2026-05-26T22:55:23Z	agent4
exp018	0	in_progress	proof attempt 2026-05-26T22:55:29Z	agent6
exp019	1.000	compile_error	proof attempt 2026-05-26T22:55:31Z	agent2
exp020	1.000	compile_error	proof attempt 2026-05-26T22:55:32Z	agent0
exp021	0	compile_error	proof attempt 2026-05-26T22:55:43Z	agent5
exp022	0	in_progress	proof attempt 2026-05-26T22:55:44Z	agent7
exp023	1.000	compile_error	proof attempt 2026-05-26T22:55:48Z	agent4
exp024	1.000	compile_error	proof attempt 2026-05-26T22:55:48Z	agent0
exp025	1.000	compile_error	proof attempt 2026-05-26T22:55:49Z	agent3
exp026	1.000	compile_error	proof attempt 2026-05-26T22:55:57Z	agent5
exp027	1.000	compile_error	proof attempt 2026-05-26T22:56:02Z	agent6
exp028	1.000	compile_error	proof attempt 2026-05-26T22:56:02Z	agent3
exp029	1.000	compile_error	proof attempt 2026-05-26T22:56:03Z	agent7
exp030	1.000	compile_error	proof attempt 2026-05-26T22:56:05Z	agent0
exp031	1.000	compile_error	proof attempt 2026-05-26T22:56:06Z	agent1
exp032	1.000	compile_error	proof attempt 2026-05-26T22:56:13Z	agent3
exp033	1.000	compile_error	proof attempt 2026-05-26T22:56:13Z	agent5
exp034	1.000	compile_error	proof attempt 2026-05-26T22:56:15Z	agent6
exp035	1.000	compile_error	proof attempt 2026-05-26T22:56:16Z	agent4
exp036	1.000	compile_error	proof attempt 2026-05-26T22:56:18Z	agent0
exp037	-2.000	compile_error	proof attempt 2026-05-26T22:56:19Z	agent7
exp038	1.000	compile_error	proof attempt 2026-05-26T22:56:28Z	agent6
exp039	0	compile_error	proof attempt 2026-05-26T22:56:31Z	agent7
exp040	1.000	compile_error	proof attempt 2026-05-26T22:56:31Z	agent3
exp041	0	compile_error	proof attempt 2026-05-26T22:56:31Z	agent0
