EXP-ID	score	status	description	agent
exp001	1.0	proved	proof attempt 2026-05-26T13:02:18Z	agent0
exp002	1.0	proved	proof attempt 2026-05-26T13:02:21Z	agent3
exp003	1.0	proved	proof attempt 2026-05-26T13:02:38Z	agent1
exp004	1.0	proved	proof attempt 2026-05-26T13:02:41Z	agent4
exp005	1.0	proved	proof attempt 2026-05-26T13:02:49Z	agent3
exp006	1.0	proved	proof attempt 2026-05-26T13:02:53Z	agent5
exp007	1.0	proved	proof attempt 2026-05-26T13:03:00Z	agent3
exp008	1.0	proved	proof attempt 2026-05-26T13:03:06Z	agent6
exp009	1.0	proved	proof attempt 2026-05-26T13:03:26Z	agent0
exp010	1.0	proved	proof attempt 2026-05-26T13:03:34Z	agent7
exp011	1.0	proved	proof attempt 2026-05-26T13:03:43Z	agent8
exp012	1.0	proved	proof attempt 2026-05-26T13:03:57Z	agent9
exp013	1.0	proved	proof attempt 2026-05-26T13:04:05Z	agent10
exp014	.500	in_progress	proof attempt 2026-05-26T13:04:06Z	agent0
exp015	1.0	proved	proof attempt 2026-05-26T13:04:22Z	agent11
exp016	1.0	proved	proof attempt 2026-05-26T13:04:50Z	agent12
exp017	.750	in_progress	proof attempt 2026-05-26T13:04:50Z	agent1
exp018	1.0	proved	proof attempt 2026-05-26T13:04:56Z	agent13
exp019	1.0	proved	proof attempt 2026-05-26T13:05:04Z	agent0
exp020	1.0	proved	proof attempt 2026-05-26T13:05:23Z	agent15
exp021	1.0	proved	proof attempt 2026-05-26T13:05:28Z	agent7
exp022	1.0	proved	proof attempt 2026-05-26T13:05:36Z	agent16
exp023	.500	in_progress	proof attempt 2026-05-26T13:05:42Z	agent9
exp024	1.0	proved	proof attempt 2026-05-26T13:05:48Z	agent0
exp025	.750	in_progress	proof attempt 2026-05-26T13:05:53Z	agent14
exp026	1.0	proved	proof attempt 2026-05-26T13:06:02Z	agent17
exp027	1.0	proved	proof attempt 2026-05-26T13:06:14Z	agent18
exp028	.500	in_progress	proof attempt 2026-05-26T13:06:34Z	agent15
exp029	1.0	proved	proof attempt 2026-05-26T13:06:37Z	agent13
exp030	1.0	proved	proof attempt 2026-05-26T13:06:37Z	agent19
exp031	1.0	proved	proof attempt 2026-05-26T13:06:41Z	agent20
exp032	.250	in_progress	proof attempt 2026-05-26T13:06:45Z	agent16
exp033	1.0	proved	proof attempt 2026-05-26T13:07:22Z	agent22
exp034	1.0	proved	proof attempt 2026-05-26T13:07:28Z	agent23
exp035	.750	in_progress	proof attempt 2026-05-26T13:07:42Z	agent16
exp036	1.0	proved	proof attempt 2026-05-26T13:07:43Z	agent24
exp037	1.0	proved	proof attempt 2026-05-26T13:08:00Z	agent25
exp038	1.0	proved	proof attempt 2026-05-26T13:08:06Z	agent21
exp039	1.0	proved	proof attempt 2026-05-26T13:08:16Z	agent26
exp040	.250	in_progress	proof attempt 2026-05-26T13:08:44Z	agent1
exp041	1.0	proved	proof attempt 2026-05-26T13:08:45Z	agent27
exp042	1.0	proved	proof attempt 2026-05-26T13:08:47Z	agent18
exp043	1.0	proved	proof attempt 2026-05-26T13:08:47Z	agent28
exp044	1.0	proved	proof attempt 2026-05-26T13:08:59Z	agent29
exp045	.250	in_progress	proof attempt 2026-05-26T13:09:02Z	agent21
exp046	1.0	proved	proof attempt 2026-05-26T13:09:10Z	agent25
exp047	.750	in_progress	proof attempt 2026-05-26T13:09:15Z	agent27
exp048	1.0	proved	proof attempt 2026-05-26T13:09:30Z	agent31
exp049	1.0	proved	proof attempt 2026-05-26T13:09:40Z	agent27
exp050	1.0	proved	proof attempt 2026-05-26T13:09:44Z	agent30
exp050	.250	in_progress	proof attempt 2026-05-26T13:09:44Z	agent28
exp052	1.0	proved	proof attempt 2026-05-26T13:09:46Z	agent32
exp053	1.0	proved	proof attempt 2026-05-26T13:09:54Z	agent33
exp054	1.0	proved	proof attempt 2026-05-26T13:10:23Z	agent20
exp055	1.0	proved	proof attempt 2026-05-26T13:10:24Z	agent28
exp056	1.0	proved	proof attempt 2026-05-26T13:10:42Z	agent35
exp057	.500	in_progress	proof attempt 2026-05-26T13:10:46Z	agent1
exp058	1.0	proved	proof attempt 2026-05-26T13:10:46Z	agent36
exp059	.750	in_progress	proof attempt 2026-05-26T13:10:55Z	agent28
exp060	1.0	proved	proof attempt 2026-05-26T13:10:58Z	agent37
exp061	1.0	proved	proof attempt 2026-05-26T13:11:03Z	agent27
exp062	1.0	proved	proof attempt 2026-05-26T13:11:08Z	agent38
exp063	.750	in_progress	proof attempt 2026-05-26T13:11:17Z	agent28
exp064	1.0	proved	proof attempt 2026-05-26T13:11:37Z	agent39
exp065	.500	in_progress	proof attempt 2026-05-26T13:11:37Z	agent28
exp066	.500	in_progress	proof attempt 2026-05-26T13:11:43Z	agent28
exp067	1.0	proved	proof attempt 2026-05-26T13:11:51Z	agent40
exp068	1.0	proved	proof attempt 2026-05-26T13:12:00Z	agent41
exp069	1.0	proved	proof attempt 2026-05-26T13:12:09Z	agent38
exp070	1.0	proved	proof attempt 2026-05-26T13:12:10Z	agent37
exp071	1.0	proved	proof attempt 2026-05-26T13:12:13Z	agent1
exp072	1.0	proved	proof attempt 2026-05-26T13:12:13Z	agent34
