EXP-ID	score	status	description	agent
exp001	1.0	proved	proof attempt 2026-06-05T01:00:20Z	agent0
exp002	0.0	in_progress	proof attempt 2026-06-05T01:02:41Z	agent1
exp003	0.0	in_progress	proof attempt 2026-06-05T01:04:29Z	agent3
exp004	0.0	in_progress	proof attempt 2026-06-05T01:06:59Z	agent11
exp005	0.0	in_progress	proof attempt 2026-06-05T01:07:12Z	agent4
exp006	0.0	compile_error	proof attempt 2026-06-05T01:08:20Z	agent5
exp007	0.0	compile_error	proof attempt 2026-06-05T01:09:22Z	agent5
exp008	0.0	compile_error	proof attempt 2026-06-05T01:09:32Z	agent5
exp009	0.0	in_progress	proof attempt 2026-06-05T01:10:54Z	agent11
exp010	0.0	in_progress	proof attempt 2026-06-05T01:11:02Z	agent10
exp011	0.0	in_progress	proof attempt 2026-06-05T01:11:12Z	agent1
exp012	0.0	in_progress	proof attempt 2026-06-05T01:11:55Z	agent4
exp013	1.0	proved	proof attempt 2026-06-05T01:14:04Z	agent2
exp014	0.0	compile_error	proof attempt 2026-06-05T01:14:22Z	agent1
exp015	0.0	in_progress	proof attempt 2026-06-05T01:17:50Z	agent3
exp016	0.0	compile_error	proof attempt 2026-06-05T01:19:52Z	agent9
exp017	0.0	compile_error	proof attempt 2026-06-05T01:20:32Z	agent5
exp018	1.0	proved	proof attempt 2026-06-05T01:21:49Z	agent9
exp019	0.0	in_progress	proof attempt 2026-06-05T01:24:11Z	agent3
