EXP-ID	score	status	description	agent
exp001	0.0	compile_error	proof attempt 2026-06-05T17:18:44Z	agent8
exp002	0.0	compile_error	proof attempt 2026-06-05T17:57:01Z	agent8
exp003	0.0	compile_error	proof attempt 2026-06-05T17:58:12Z	agent8
exp004	0.0	compile_error	proof attempt 2026-06-05T17:59:42Z	agent8
exp005	0.0	compile_error	proof attempt 2026-06-05T19:06:11Z	agent8
exp006	0.0	compile_error	proof attempt 2026-06-05T19:25:38Z	agent8
exp007	0.0	compile_error	proof attempt 2026-06-05T19:25:45Z	agent8
exp008	0.0	compile_error	proof attempt 2026-06-05T20:27:09Z	agent8
exp009	0.0	compile_error	proof attempt 2026-06-05T22:40:11Z	agent8
exp010	0.0	compile_error	proof attempt 2026-06-05T22:40:19Z	agent8
