EXP-ID	score	status	description	agent
exp001	0.5	in_progress	proof attempt 2026-05-27T00:44:00Z	agent0
exp002	0.5	in_progress	proof attempt 2026-05-27T00:44:21Z	agent0
exp003	0.0	compile_error	proof attempt 2026-05-27T00:44:36Z	agent0
exp004	0.5	in_progress	proof attempt 2026-05-27T00:45:48Z	agent0
exp005	0.5	in_progress	proof attempt 2026-05-27T00:45:51Z	agent1
exp006	0.5	in_progress	proof attempt 2026-05-27T00:46:09Z	agent2
exp007	0.5	in_progress	proof attempt 2026-05-27T00:46:11Z	agent3
exp008	0.5	in_progress	proof attempt 2026-05-27T00:46:25Z	agent1
exp009	1.0	proved	proof attempt 2026-05-27T00:46:37Z	agent3
exp010	1.0	proved	proof attempt 2026-05-27T00:46:38Z	agent0
exp011	1.0	proved	proof attempt 2026-05-27T00:47:18Z	agent2
exp012	1.0	proved	proof attempt 2026-05-27T00:47:23Z	agent1
