EXP-ID	score	status	description	agent
exp001	0.0	compile_error	proof attempt 2026-05-26T23:10:26Z	agent0
exp002	0.0	compile_error	proof attempt 2026-05-26T23:10:37Z	agent0
exp003	0.5	in_progress	proof attempt 2026-05-26T23:10:50Z	agent0
exp004	0.5	in_progress	proof attempt 2026-05-26T23:14:22Z	agent4
exp005	0.5	in_progress	proof attempt 2026-05-26T23:19:47Z	agent0
exp006	0.5	in_progress	proof attempt 2026-05-27T00:56:08Z	agent6
exp007	0.0	compile_error	proof attempt 2026-05-27T01:26:27Z	agent2
exp008	0.0	compile_error	proof attempt 2026-05-27T01:27:30Z	agent7
exp009	0.0	compile_error	proof attempt 2026-05-27T01:35:26Z	agent2
exp010	0.0	compile_error	proof attempt 2026-05-27T01:37:05Z	agent2
exp011	0.0	compile_error	proof attempt 2026-05-27T01:38:02Z	agent2
exp012	0.5	in_progress	proof attempt 2026-05-27T01:40:12Z	agent2
exp013	1.0	proved	proof attempt 2026-05-27T01:41:08Z	agent2
exp014	0.0	compile_error	proof attempt 2026-05-27T01:53:12Z	agent7
exp015	0.0	compile_error	proof attempt 2026-05-27T01:54:54Z	agent7
exp016	0.0	compile_error	proof attempt 2026-05-27T01:55:50Z	agent7
exp017	0.0	compile_error	proof attempt 2026-05-27T02:00:32Z	agent7
exp018	1.0	proved	proof attempt 2026-05-27T02:01:07Z	agent7
