exp_id	residual	solution_norm	solution_mean	status	description	agent	design	elapsed_s	solution_energy
exp001	5.63592552e-11	0.000000	-0.000000	keep	trivial branch baseline, u_offset=0	agent0	initial_cond	0	-0.000000
exp002	5.63592552e-11	0.000000	-0.000000	discard	positive branch, u_offset=0.9	agent0	initial_cond	0	-0.000000
exp003	5.72745888e-09	1.002503	1.000218	discard	positive branch, u_offset=0.9	agent0	initial_cond	1	-1.523848
exp004	2.41595655e-09	1.002503	-1.000218	discard	negative branch, u_offset=-0.9	agent0	initial_cond	0	-1.523848
exp005	5.63592552e-11	0.000000	-0.000000	discard	trivial branch (u≈0) baseline with u_offset=0.0	agent1	initial_cond	1	-0.000000
exp006	5.72745888e-09	1.002503	1.000218	discard	positive branch (u≈+1) with u_offset=0.9	agent1	initial_cond	1	-1.523848
exp007	2.41595655e-09	1.002503	-1.000218	discard	negative branch (u≈-1) with u_offset=-0.9	agent1	initial_cond	1	-1.523848
exp008	8.95295950e-11	1.002503	-1.000218	discard	negative branch with solver_tol=1e-10	agent1	solver_param	1	-1.523848
exp009	8.95295950e-11	1.002503	1.000218	discard	positive branch with solver_tol=1e-10	agent1	solver_param	0	-1.523848
exp010	2.98031263e-13	0.000000	-0.000000	keep	trivial branch with solver_tol=1e-10	agent1	solver_param	0	-0.000000
exp011	2.98031263e-13	0.000000	-0.000000	discard	trivial branch with solver_tol=1e-12	agent1	solver_param	0	-0.000000
exp012	2.62635931e-11	1.002503	1.000218	discard	positive branch with tighter tolerance (1e-10) and finer mesh (150 nodes)	agent2	initial_cond	0	-1.523848
exp013	8.95295950e-11	1.002503	-1.000218	discard	negative branch with solver_tol=1e-12	agent1	solver_param	1	-1.523848
exp014	8.95295950e-11	1.002503	1.000218	discard	positive branch with tighter solver_tol=1e-10	agent0	solver_param	0	-1.523848
exp015	8.81934685e-11	1.002503	-1.000218	discard	negative branch with n_nodes=200, solver_tol=1e-10	agent1	solver_param	1	-1.523848
