exp_id	residual	solution_norm	solution_mean	status	description	agent	design	elapsed_s	solution_energy
exp001	5.63598005e-11	0.000000	-0.000000	keep	Negative branch probe, u_offset=-0.9	agent1	initial_cond	0	-0.000000
exp002	5.63598005e-11	0.000000	-0.000000	discard	trivial branch baseline, u_offset=0.0	agent2	initial_cond	0	-0.000000
exp003	5.72745881e-09	1.002503	-1.000218	discard	Negative branch with u_offset=-1.2	agent1	initial_cond	1	-1.523848
exp004	5.63598005e-11	0.000000	-0.000000	discard	trivial branch, u_offset=0	agent3	initial_cond	0	-0.000000
exp005	5.72745859e-09	1.002503	-1.000218	discard	negative branch, u_offset=-1.0	agent0	initial_cond	0	-1.523848
exp006	5.72745788e-09	1.002503	1.000218	discard	Positive branch with u_offset=1.2	agent1	initial_cond	0	-1.523848
exp007	5.72745888e-09	1.002503	1.000218	discard	positive branch baseline, u_offset=0.9	agent2	initial_cond	0	-1.523848
exp008	2.41595655e-09	1.002503	1.000218	discard	positive branch, u_offset=+1.0	agent0	initial_cond	1	-1.523848
exp009	5.72745888e-09	1.002503	1.000218	discard	positive branch, u_offset=0.9	agent3	initial_cond	0	-1.523848
exp010	2.41595655e-09	1.002503	-1.000218	discard	Bifurcation probe u_offset=-0.8	agent1	initial_cond	0	-1.523848
exp011	2.41595655e-09	1.002503	-1.000218	discard	negative branch, u_offset=-0.9	agent3	initial_cond	0	-1.523848
exp012	8.81934684e-11	1.002503	1.000218	discard	positive branch refined: n_nodes=200, tol=1e-10	agent2	solver_param	1	-1.523848
exp013	1.30911985e-11	0.000000	-0.000000	keep	Bifurcation probe u_offset=-0.5	agent1	initial_cond	0	-0.000000
exp014	5.72745864e-09	1.002503	-1.000218	discard	Bifurcation probe u_offset=-0.65	agent1	initial_cond	0	-1.523848
exp015	5.63598005e-11	0.000000	-0.000000	discard	trivial branch, u_offset=0.0	agent0	initial_cond	0	-0.000000
exp016	8.81934684e-11	1.002503	1.000218	discard	positive branch: u_offset=0.95, n_nodes=200, tol=1e-10	agent2	initial_cond	0	-1.523848
