exp_id	residual	solution_norm	solution_mean	status	description	agent	design	elapsed_s	solution_energy
exp001	crash	0	0	crash	positive branch, phase=0.785, n_nodes=300	agent0	perturbation	1	0
exp002	crash	0	0	crash	positive branch, phase=1.571, n_nodes=300	agent0	perturbation	0	0
exp003	crash	0	0	crash	positive branch, phase=2.356, n_nodes=300	agent0	perturbation	0	0
exp004	crash	0	0	crash	positive branch, phase=3.142, n_nodes=300	agent0	perturbation	1	0
exp005	crash	0	0	crash	positive branch, phase=3.927, n_nodes=300	agent0	perturbation	0	0
exp006	crash	0	0	crash	positive branch, phase=4.712, n_nodes=300	agent0	perturbation	1	0
exp007	crash	0	0	crash	positive branch, phase=5.498, n_nodes=300	agent0	perturbation	0	0
exp008	3.25175408e-12	1.002503	-1.000218	keep	negative branch boundary search, u_offset=-0.88, n_nodes=300, tol=1e-11	agent3	branch_search	0	-1.523848
exp009	3.25175408e-12	1.002503	-1.000218	discard	positive branch, u_offset=0.9, n_mode=3, amplitude=0.3, phase=π, n_nodes=300, tol=1e-11	agent2	perturbation	0	-1.523848
exp010	3.25175408e-12	1.002503	-1.000218	discard	negative basin boundary, u_offset=-0.86	agent3	branch_search	0	-1.523848
exp011	3.25175408e-12	1.002503	1.000218	discard	positive branch, phase=π/2	agent0	perturbation	0	-1.523848
exp012	3.25175165e-12	1.002503	-1.000218	keep	negative basin boundary, u_offset=-0.87	agent3	branch_search	0	-1.523848
exp013	3.25175408e-12	1.002503	-1.000218	discard	positive branch, n_mode=5	agent0	perturbation	0	-1.523848
exp014	3.25175165e-12	1.002503	1.000218	discard	positive branch boundary, u_offset=0.88, n_nodes=300, tol=1e-11	agent2	branch_search	1	-1.523848
exp015	3.25175165e-12	1.002503	1.000218	discard	positive branch boundary, u_offset=0.88	agent0	branch_search	0	-1.523848
exp016	3.25175165e-12	1.002503	1.000218	discard	positive branch boundary, u_offset=0.85, n_nodes=300, tol=1e-11	agent2	branch_search	0	-1.523848
exp017	3.25175408e-12	1.002503	-1.000218	discard	negative basin boundary refinement, u_offset=-0.855	agent3	branch_search	0	-1.523848
exp018	3.25175165e-12	1.002503	1.000218	discard	positive branch (u_offset=+0.88), phase=0.0 baseline	agent1	perturbation	0	-1.523848
exp019	3.25175165e-12	1.002503	1.000218	discard	positive branch boundary, u_offset=0.87	agent0	branch_search	0	-1.523848
exp020	3.25175165e-12	1.002503	-1.000218	discard	positive basin boundary, u_offset=0.90	agent2	branch_search	1	-1.523848
exp021	3.25175408e-12	1.002503	1.000218	discard	positive branch boundary, u_offset=0.86	agent0	branch_search	1	-1.523848
exp022	3.25175165e-12	1.002503	1.000218	discard	positive branch boundary, u_offset=0.80	agent0	branch_search	0	-1.523848
exp023	3.25175165e-12	1.002503	1.000218	discard	positive branch, phase=π/4 (0.785)	agent1	perturbation	0	-1.523848
exp024	3.25175408e-12	1.002503	1.000218	discard	positive branch boundary, u_offset=0.75, n_nodes=300, tol=1e-11	agent2	branch_search	0	-1.523848
exp025	6.31838887e-14	0.000000	-0.000000	keep	positive branch boundary, u_offset=0.50	agent0	branch_search	1	-0.000000
exp026	3.25175408e-12	1.002503	1.000218	discard	positive basin, u_offset=0.90	agent2	branch_search	1	-1.523848
exp027	3.25175408e-12	1.002503	1.000218	discard	positive branch, phase=π/2 (1.571)	agent1	perturbation	0	-1.523848
exp028	3.25175408e-12	1.002503	1.000218	discard	positive boundary, u_offset=0.65	agent2	branch_search	1	-1.523848
exp029	3.25175165e-12	1.002503	1.000218	discard	positive basin boundary, u_offset=0.85	agent3	branch_search	0	-1.523848
exp030	3.25175408e-12	1.002503	1.000218	discard	positive branch boundary search, u_offset=0.65	agent0	branch_search	0	-1.523848
exp031	3.25175408e-12	1.002503	-1.000218	discard	positive basin, u_offset=0.60	agent2	branch_search	1	-1.523848
exp032	3.25175408e-12	1.002503	-1.000218	discard	positive boundary, u_offset=0.55	agent2	branch_search	1	-1.523848
exp033	3.25175165e-12	1.002503	-1.000218	discard	boundary search, u_offset=0.57	agent0	branch_search	0	-1.523848
exp034	3.25175408e-12	1.002503	1.000218	discard	positive basin boundary, u_offset=0.82	agent3	branch_search	1	-1.523848
exp035	1.13918645e-14	0.000000	-0.000000	keep	trivial branch (u_offset=0.1), baseline	agent1	initial_cond	0	-0.000000
exp035	3.25175165e-12	1.002503	1.000218	discard	positive boundary, u_offset=0.60	agent2	branch_search	0	-1.523848
exp036	3.25175408e-12	1.002503	-1.000218	discard	boundary search, u_offset=0.55	agent0	branch_search	0	-1.523848
exp037	3.25175165e-12	1.002503	1.000218	discard	positive basin, u_offset=0.85	agent2	branch_search	0	-1.523848
exp038	3.25175165e-12	1.002503	-1.000218	discard	positive boundary, u_offset=0.57	agent2	branch_search	1	-1.523848
exp039	3.25175165e-12	1.002503	1.000218	discard	positive basin boundary, u_offset=0.80	agent3	branch_search	0	-1.523848
exp040	3.25175165e-12	1.002503	-1.000218	discard	positive basin, u_offset=0.70	agent2	branch_search	0	-1.523848
exp041	3.25175165e-12	1.002503	1.000218	discard	positive boundary, u_offset=0.59	agent2	branch_search	0	-1.523848
exp042	3.25175408e-12	1.002503	-1.000218	discard	negative basin boundary: u_offset=-0.89	agent3	branch_search	0	-1.523848
exp043	3.25175408e-12	1.002503	-1.000218	discard	positive basin boundary, u_offset=0.75	agent3	branch_search	0	-1.523848
exp044	3.25175408e-12	1.002503	1.000218	discard	positive boundary, u_offset=0.58	agent2	branch_search	0	-1.523848
exp045	1.49007715e-15	0.000000	-0.000000	keep	trivial branch, amplitude=0.3	agent1	initial_cond	1	-0.000000
exp046	3.25175408e-12	1.002503	1.000218	discard	positive basin, u_offset=0.80	agent2	branch_search	0	-1.523848
exp047	1.32141108e-15	0.000000	-0.000000	keep	bistable region, u_offset=0.55, amplitude=0.3	agent0	branch_search	0	-0.000000
exp048	3.25175408e-12	1.002503	1.000218	discard	positive basin, u_offset=0.75	agent2	branch_search	0	-1.523848
exp049	6.31838887e-14	0.000000	-0.000000	discard	trivial region, u_offset=0.50	agent2	branch_search	1	-0.000000
exp050	crash	0	0	crash	bistable region, u_offset=0.60, amplitude=0.3	agent0	branch_search	0	0
exp050	3.25175165e-12	1.002503	-1.000218	discard	negative basin boundary: u_offset=-0.91	agent3	branch_search	0	-1.523848
exp051	2.75846262e-15	0.000000	-0.000000	discard	trivial branch, amplitude=0.2	agent1	initial_cond	0	-0.000000
exp051	6.31838887e-14	0.000000	-0.000000	discard	positive basin, u_offset=0.72	agent2	branch_search	0	-0.000000
exp052	crash	0	0	crash	boundary search, u_offset=0.52, amp=0.1	agent0	branch_search	1	0
exp053	3.25175408e-12	1.002503	-1.000218	discard	negative basin boundary: u_offset=-0.80	agent3	branch_search	0	-1.523848
exp054	2.79758680e-15	0.000000	-0.000000	discard	trivial branch, amplitude=0.4	agent1	initial_cond	0	-0.000000
exp055	3.25175408e-12	1.002503	1.000218	discard	positive basin, u_offset=0.73	agent2	branch_search	1	-1.523848
exp056	1.60426708e-13	0.000000	-0.000000	discard	transition region: u_offset=-0.50	agent3	branch_search	0	-0.000000
exp057	2.82257648e-13	0.000000	-0.000000	discard	boundary search, u_offset=0.51	agent0	branch_search	0	-0.000000
exp058	1.13671782e-23	0.000000	0.000000	keep	trivial branch, n_mode=2, amplitude=0.3	agent1	initial_cond	0	0.000000
exp059	3.25175165e-12	1.002503	1.000218	discard	positive basin, u_offset=0.88	agent2	branch_search	0	-1.523848
exp060	4.47519674e-11	1.002503	1.000218	discard	extreme parameters: n_nodes=500, tol=1e-9	agent0	solver_param	1	-1.523848
exp061	3.25175408e-12	1.002503	1.000218	discard	positive basin, u_offset=0.92	agent2	branch_search	0	-1.523848
