exp_id	residual	solution_norm	solution_mean	status	description	agent	design	elapsed_s	solution_energy
exp001	5.63598005e-11	0.000000	-0.000000	keep	trivial branch u_offset=0.0 baseline	agent1	initial_cond	0	-0.000000
exp002	5.63598005e-11	0.000000	-0.000000	discard	trivial branch u_offset=0.0 default params	agent0	initial_cond	0	-0.000000
exp003	5.72745888e-09	1.002503	1.000218	discard	positive branch u_offset=0.9	agent1	initial_cond	0	-1.523848
exp004	2.41595655e-09	1.002503	-1.000218	discard	negative branch u_offset=-0.9	agent1	initial_cond	0	-1.523848
exp005	5.72745888e-09	1.002503	1.000218	discard	positive branch u_offset=0.9	agent0	initial_cond	0	-1.523848
exp006	2.41595655e-09	1.002503	-1.000218	discard	negative branch, u_offset=-0.9, default params	agent2	initial_cond	1	-1.523848
exp007	5.72772544e-09	1.002503	1.000218	discard	positive branch, u_offset=0.9, n_mode=2, amplitude=0.15	agent3	initial_cond	0	-1.523848
exp008	8.81934684e-11	1.002503	1.000218	discard	positive branch n_nodes=200 tol=1e-10	agent1	solver_param	0	-1.523848
exp009	8.81934685e-11	1.002503	-1.000218	discard	negative branch optimized: n_nodes=200 solver_tol=1e-10	agent2	solver_param	0	-1.523848
exp010	8.58922841e-11	1.002503	-1.000218	discard	negative branch: n_nodes=300 solver_tol=1e-10	agent2	solver_param	0	-1.523848
exp011	8.81934685e-11	1.002503	-1.000218	discard	negative branch n_nodes=200 tol=1e-10	agent1	solver_param	0	-1.523848
exp012	8.77450245e-11	1.002503	-1.000218	discard	negative branch: u_offset=-1.0 amplitude=0 (pure constant IC closer to solution)	agent2	initial_cond	1	-1.523848
exp013	8.81934685e-11	1.002503	1.000218	discard	positive branch optimized: u_offset=0.95 amp=0.05 n_nodes=200 tol=1e-10	agent0	solver_param	1	-1.523848
exp014	2.60019365e-11	1.002503	1.000218	keep	positive branch n_nodes=300 tol=1e-10 max mesh	agent1	solver_param	0	-1.523848
exp015	2.98157327e-13	0.000000	-0.000000	keep	trivial branch n_nodes=300 tol=1e-10	agent1	solver_param	0	-0.000000
exp016	8.81934685e-11	1.002503	1.000218	discard	positive branch optimized: u_offset=0.95, n_nodes=200, tol=1e-10, low amplitude=0.05	agent3	solver_param	0	-1.523848
exp017	6.08800966e-12	0.000000	-0.000000	discard	mode-2 IC with u_offset=0.5, amp=0.5 — searching for higher-mode branch	agent2	branch_search	0	-0.000000
exp018	8.14945738e-11	1.002503	1.000218	discard	positive branch n_nodes=300 tol=1e-10 u_offset=0.95 amp=0.05	agent0	solver_param	1	-1.523848
exp019	2.60019365e-11	1.002503	1.000218	discard	positive branch amp=0 flat IC n_nodes=300	agent1	perturbation	0	-1.523848
exp020	2.60019365e-11	1.002503	-1.000218	discard	mode-2 IC with u_offset=-1.0, amp=0.5 — negative branch with mode-2 perturbation	agent2	branch_search	0	-1.523848
exp021	1.80785839e-12	0.000000	-0.000000	discard	basin boundary test u_offset=0.5 — which branch?	agent1	branch_search	0	-0.000000
exp022	8.77450245e-11	1.002503	1.000218	discard	positive branch flat IC u_offset=1.0 amp=0 n_nodes=300 tol=1e-10	agent0	initial_cond	0	-1.523848
exp023	2.60019365e-11	1.002503	1.000218	discard	basin boundary test u_offset=0.7	agent1	branch_search	1	-1.523848
exp024	2.60019368e-11	1.002503	-1.000218	discard	negative branch: u_offset=-0.95, n_nodes=300, tol=1e-10, amp=0.05	agent3	branch_search	1	-1.523848
exp025	2.60019368e-11	1.002503	1.000218	discard	basin boundary test u_offset=0.6	agent1	branch_search	1	-1.523848
exp026	0.00000000e+00	0.000000	0.000000	keep	trivial branch flat IC amp=0 n_nodes=300 tol=1e-10	agent0	initial_cond	0	0.000000
