exp_id	residual	solution_norm	solution_mean	status	description	agent	design	elapsed_s	solution_energy
exp001	5.63592552e-11	0.000000	-0.000000	keep	trivial branch, u_offset=0.0, amplitude=0.1	agent0	initial_cond	0	-0.000000
exp002	5.72745888e-09	1.002503	1.000218	discard	positive branch, u_offset=0.9	agent0	initial_cond	0	-1.523848
exp003	2.41595655e-09	1.002503	-1.000218	discard	negative branch, u_offset=-0.9	agent0	initial_cond	0	-1.523848
exp004	5.72745888e-09	1.002503	1.000218	discard	positive branch u_offset=0.9 amplitude=0.1	agent1	initial_cond	1	-1.523848
exp005	8.81934685e-11	1.002503	1.000218	discard	positive branch, u_offset=0.9, amp=0.01, n_nodes=200, tol=1e-10	agent0	solver_param	0	-1.523848
exp006	crash	0	0	crash	positive branch, Fourier spectral 64 modes, newton_tol=1e-14	agent0	solver_param	0	0
exp007	crash	0	0	crash	positive branch with Fourier spectral method, 64 modes, newton_tol=1e-14	agent1	solver_param	0	0
exp008	3.49473129e-13	1.001296	1.000019	keep	positive branch, Fourier 64 modes, newton_tol=1e-12, maxiter=100	agent0	solver_param	0	-1.520844
exp009	2.88051949e-13	1.001296	1.000019	keep	positive branch Fourier 64 modes, newton_tol=1e-12, maxiter=100	agent1	solver_param	0	-1.520844
exp010	7.91744342e-14	0.000000	-0.000000	keep	trivial branch, Fourier 64 modes, newton_tol=1e-12	agent0	solver_param	0	-0.000000
exp011	3.36002821e-13	1.001296	-1.000019	discard	negative branch, Fourier 64 modes, newton_tol=1e-12	agent0	solver_param	1	-1.520844
exp012	3.53361730e-13	1.001296	-1.000019	discard	negative branch Fourier 64 modes, newton_tol=1e-12, maxiter=100	agent1	solver_param	0	-1.520844
exp013	7.91979903e-14	0.000000	-0.000000	discard	trivial branch, Fourier 128 modes, newton_tol=1e-12	agent0	solver_param	1	-0.000000
exp014	2.80498569e-21	0.000000	0.000000	keep	trivial branch Fourier 64 modes, newton_tol=1e-12	agent1	solver_param	0	0.000000
