exp_id	residual	solution_norm	solution_mean	status	description	agent	design	elapsed_s	solution_energy
exp001	5.63598005e-11	0.000000	-0.000000	keep	trivial u_offset=0	manual	initial_cond	1	-0.000000
exp002	5.72745888e-09	1.002503	1.000218	keep	positive u_offset=0.9	agent0	initial_cond	0	-1.523848
exp003	2.41595655e-09	1.002503	-1.000218	keep	negative branch u_offset=-0.9	agent0	initial_cond	0	-1.523848
exp004	2.41595655e-09	1.002503	-1.000218	keep	negative branch u_offset=-0.9	agent1	initial_cond	1	-1.523848
exp005	1.13875706e-14	0.000000	-0.000000	keep	u_offset=0.1 branch boundary sweep	agent0	branch_search	0	-0.000000
exp006	1.04766664e-11	0.000000	-0.000000	keep	u_offset=0.2 branch boundary sweep	agent0	branch_search	0	-0.000000
exp007	2.82460709e-11	0.000000	-0.000000	keep	u_offset=0.3 branch boundary sweep	agent0	branch_search	1	-0.000000
exp008	3.90006672e-11	0.000000	0.000000	keep	u_offset=0.4 branch boundary sweep	agent0	branch_search	0	-0.000000
exp009	5.17243836e-11	0.000000	-0.000000	keep	u_offset=0.5 branch boundary sweep	agent0	branch_search	0	-0.000000
exp010	5.73029238e-09	1.002503	1.000218	keep	u_offset=0.6 branch boundary sweep	agent0	branch_search	1	-1.523848
exp011	2.41595655e-09	1.002503	1.000218	keep	u_offset=0.7 branch boundary sweep	agent0	branch_search	0	-1.523848
exp012	2.41595655e-09	1.002503	1.000218	keep	u_offset=0.8 branch boundary sweep	agent0	branch_search	0	-1.523848
exp013	2.41595655e-09	1.002503	-1.000218	keep	u_offset=0.55 binary search boundary	agent0	branch_search	0	-1.523848
exp014	1.07248814e-11	0.000000	-0.000000	keep	u_offset=0.52 binary search boundary	agent0	branch_search	0	-0.000000
exp015	5.72826282e-09	1.002503	1.000218	keep	u_offset=0.58 binary search boundary	agent0	branch_search	1	-1.523848
exp016	5.33445105e-09	1.002503	-1.000218	keep	u_offset=0.53 refine boundary	agent0	branch_search	0	-1.523848
exp017	7.42712040e-11	0.000000	-0.000000	keep	u_offset=0.54 refine boundary	agent0	branch_search	0	-0.000000
exp018	1.07755464e-11	0.000000	-0.000000	keep	u_offset=0.56 refine boundary	agent0	branch_search	1	-0.000000
exp019	5.72819413e-09	1.002503	-1.000218	keep	u_offset=0.57 refine boundary	agent0	branch_search	0	-1.523848
exp020	8.25422774e-11	0.000000	-0.000000	keep	negative sweep u_offset=-0.1	agent1	branch_search	1	-0.000000
exp021	7.92733154e-11	0.000000	-0.000000	keep	negative sweep u_offset=-0.2	agent1	branch_search	0	-0.000000
exp022	6.06953447e-12	0.000000	-0.000000	keep	negative sweep u_offset=-0.3	agent1	branch_search	0	-0.000000
exp023	6.59201523e-11	0.000000	-0.000000	keep	negative sweep u_offset=-0.4	agent1	branch_search	1	-0.000000
exp024	1.30912002e-11	0.000000	-0.000000	keep	negative sweep u_offset=-0.5	agent1	branch_search	0	-0.000000
exp025	8.81934684e-11	1.002503	1.000218	keep	positive branch n_nodes=200 tol=1e-10	agent0	solver_param	0	-1.523848
exp026	3.75113122e-11	0.000000	-0.000000	keep	negative sweep u_offset=-0.6	agent1	branch_search	0	-0.000000
exp027	2.41595655e-09	1.002503	-1.000218	keep	negative sweep u_offset=-0.7	agent1	branch_search	1	-1.523848
exp028	2.41595655e-09	1.002503	-1.000218	keep	negative sweep u_offset=-0.8	agent1	branch_search	0	-1.523848
exp029	8.81934685e-11	1.002503	-1.000218	keep	negative branch n_nodes=200 tol=1e-10	agent0	solver_param	0	-1.523848
exp030	5.72745864e-09	1.002503	-1.000218	keep	binary search negative boundary u_offset=-0.65	agent1	branch_search	1	-1.523848
exp031	5.69276952e-19	0.000000	-0.000000	keep	binary search negative boundary u_offset=-0.62	agent1	branch_search	0	-0.000000
exp032	2.41595655e-09	1.002503	-1.000218	keep	binary search negative boundary u_offset=-0.67	agent1	branch_search	0	-1.523848
exp033	5.72745852e-09	1.002503	-1.000218	keep	binary search negative boundary u_offset=-0.68	agent1	branch_search	1	-1.523848
exp034	2.98337043e-13	0.000000	-0.000000	keep	trivial branch n_nodes=200 tol=1e-10	agent0	solver_param	1	-0.000000
exp035	6.65041889e-10	1.002503	-1.000218	keep	binary search negative boundary u_offset=-0.63	agent1	branch_search	1	-1.523848
exp036	5.72746183e-09	1.002503	-1.000218	keep	binary search negative boundary u_offset=-0.64	agent1	branch_search	0	-1.523848
exp037	2.98147269e-13	0.000000	-0.000000	keep	triv branch n_nodes=300 tol=1e-10	agent0	solver_param	0	-0.000000
