commit	score	memory_gb	status	description	agent	design
baseline	0.5448	0	keep	default config	setup	baseline
EXP-001	0.4172	0	discard	pure agrarian 90% farm, no research	agent0	blackboard
EXP-002	0.6694	0	keep	fortress 40f/25m/25b/10r, raid_prep=1.0	agent0	blackboard
EXP-003	0.5970	0	discard	scholar 40f/10m/10b/40r	agent0	blackboard
EXP-004	0.6824	0	keep	fortress-scholar 35f/20m/20b/25r	agent0	blackboard
EXP-005	0.7278	0	keep	extreme fortress 25f/30m/30b/15r, trade_agg=0.8	agent0	blackboard
EXP-001	0.4996	0	discard	farming55/mining20/building10/research15	agent1	blackboard
EXP-002	0.5928	0	keep	farming55/mining15/building15/research15	agent1	blackboard
EXP-003	0.7278	0	keep	farming60/mining10/building15/research15 - NEW BEST	agent1	blackboard
EXP-004	0.6102	0	discard	farming65/mining10/building15/research10	agent1	blackboard
EXP-a2-001	0.6368	0	keep	Scholar: farm45/mine10/build15/research30, starvation_response=0.8	agent2	blackboard
EXP-005	0.6200	0	discard	food_reserve_target=150 (base 60/10/15/15)	agent1	blackboard
EXP-006	0.6264	0	discard	food_reserve_target=200 (base 60/10/15/15)	agent1	blackboard
EXP-007	0.6280	0	discard	starvation_response=0.7 (base 60/10/15/15)	agent1	blackboard
EXP-006	0.4088	0	discard	pure trader 70f/0m/0b/30r, trade=1.0	agent0	blackboard
EXP-007	0.7312	0	keep	ultra fortress 15f/35m/35b/15r	agent0	blackboard
EXP-008	0.7122	0	discard	insane fortress 10f/40m/40b/10r	agent0	blackboard
EXP-009	0.7368	0	keep	fortress-scholar 15f/25m/25b/35r, trade=1.0	agent0	blackboard
EXP-010	0.7310	0	discard	research fortress 10f/20m/20b/50r	agent0	blackboard
EXP-a2-002	0.6468	0	discard	Trader: farm40/mine20/build20/research20, trade_agg=1.0, emerg_food=1.0	agent2	blackboard
EXP-001	0.7088	0	discard	60/10/15/15 + aggressive strat (trade=0.8,raid=1.0,starv=0.9,emfood=1.0)	agent3	blackboard
EXP-a2-003	0.7474	0	keep	fortress-scholar: farm25/mine20/build25/research30, trade_agg=0.8, NEW BEST	agent2	blackboard
EXP-008	0.6402	0	keep	raid_preparedness=0.7 (base 60/10/15/15)	agent1	blackboard
EXP-009	0.6202	0	discard	trade_aggression=0.5 (base 60/10/15/15)	agent1	blackboard
